density_case,inner_density_ratio,outer_density_ratio,pair,seed,mode,source_cell,response_cell,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,average,relative_error,sigma,tally_sha256,stdout_sha256
high_inner_low_outer,2.0,0.5,g14_to_g15,7,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_7/adjoint/inp,454b9e63b7814d9b958a35b98c3ef6e1ab8297d8ea19336bc48d8f09acf4afe0,0,0.093115,0.0035009,0.0003259863035,381577bd671e94681284dff109607d37716a05a876281b140f2c9927cd318ba6,77038ad94f101f0cb13b1146bfdbf1867d5a38581876791b369168395fc7f15b
high_inner_low_outer,2.0,0.5,g14_to_g15,9,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_9/forward/inp,25df094f749ae2374db891b54e4bde38099b61e411fc6b5e0225ae10efb3cb1f,0,0.093802,0.0038892,0.00036481473840000003,bbee140d72d8217fb4e22807e2d87e756c5dfcc6b79a4d45c865e5e800c43797,927b0270afce43b813bfe39bb9795a4e32ca563de241df8bb684da03af89302e
high_inner_low_outer,2.0,0.5,g14_to_g15,9,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_9/adjoint/inp,9e34c67729daae98a391d72ef9c5c16d8bde58be6df550fd2dcd012ae700261a,0,0.093692,0.003491,0.000327078772,efc0fabb066940fccd7c9296dad90fb05d8feb03bb106748fe9f0ddf2836b45f,6d7f42c4d99d07cc20767532253ebfa36c08a0362aa926cb3a6062f736284346
high_inner_low_outer,2.0,0.5,g20_to_g22,1,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_1/forward/inp,23716267a4fd6cd33cd11933f5c9d897287805fa3f974a36fee3c897a736b63c,0,0.085004,0.0040506,0.00034431720239999993,cbedc7e912269bade15f67423c75f4fff0daf3e4bb8f0449c14c4b0aef71b19e,853d1959fc5e9f4ca88e4faf5b640f443d1083982d8a6de6c52df72d4d01ee1d
high_inner_low_outer,2.0,0.5,g20_to_g22,1,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_1/adjoint/inp,731c97fdc88dcd96e48ee5ae150eb36cef7e79cba33f13c7753c34a99573c490,0,0.085489,0.003204,0.000273906756,c5b21a288cee956f6655f254850e8d061fb7608f146fffecc798529164f7d4a2,e7fe663496da005986a8b9b5c36de3acc7426b8b8d7768cbba048b287d6c4ecc
high_inner_low_outer,2.0,0.5,g20_to_g22,3,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_3/forward/inp,74eca417c269ebe708d7d86e3de2670f91ee1f895c1abbb9ae021ef4162869d2,0,0.085168,0.0040402,0.00034409575359999994,2d159f50705a99b146bf7f68389a99496ca74ed7d44ba5cea056c38a1a5f71a6,c46162fb3d17096ef5b2f12879f3c541883c48a3b13ecc568f1b769cefe25b94
high_inner_low_outer,2.0,0.5,g20_to_g22,3,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_3/adjoint/inp,c6a8a6b67b9c11c21fbfa123ee2ee6a15731072dcb05b6d18c13ae22f43a5ff5,0,0.085513,0.0032094,0.0002744454222,3852bdf4ba1c083cc6ddfa023a09a76ca6216f88140ff6f787adcc8586991530,f7c3d2dd7bce48e15f026f69c91d26348e5f4f1fd61ac2cc4e6bd74a55e503ce
high_inner_low_outer,2.0,0.5,g20_to_g22,5,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_5/forward/inp,26b82cefdd2dea6a6f2d8838b48ba80016054088a872cc76ef961b0936d00f5b,0,0.08493,0.004028,0.00034209804000000005,6309f0cda95fcab826fb7f7c437bcbf886ce1633c94a7148be0dbbf44a45812f,3750db2103c14cd48070111a976669cd4ca3b88dfd5f6d83678561075ab11875
high_inner_low_outer,2.0,0.5,g20_to_g22,5,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_5/adjoint/inp,b4162c972f5f06c2efe9f2ee18f4f699e004538d1afb4802240c4272e8108be5,0,0.085309,0.0032065,0.0002735433085,531d88ad171b0cced9b5c5dcf83615b2d1bdd9595f7778b439a512dd061ee02c,3bff85045f07309cf64bb6a5ac1e0cf1c776334d9f6194d3a570b71cbfe47dc9
high_inner_low_outer,2.0,0.5,g20_to_g22,7,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_7/forward/inp,c7ee7757ee0af6cc6ca59fd39a890753f04c5da8b22b5d8b81a2a6bd7d3e5dd7,0,0.084725,0.004033,0.000341695925,161cbd6b29fe87b4980e46b31a758f2fffd25ed1e1ee986777f46bc1cb53e086,d3dc5db9bbb02f95f9bc4c863b31645aa6389b8e16ea5926a112872199f3972f
high_inner_low_outer,2.0,0.5,g20_to_g22,7,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_7/adjoint/inp,1df97b48e7c59f4cb0298063b098098e114dcd35d978e1f19862dcadf2b1f9a0,0,0.085156,0.0032002,0.00027251623119999995,87761be00609c8f702d5fb6da139799e10e87e12a12ed5fccce2b6d7e77537b9,f2ff5ff043fb5aa181155d42f3f595fec98018aa57d6acd70668a176a71c97fe
high_inner_low_outer,2.0,0.5,g20_to_g22,9,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_9/forward/inp,ec9f43a0f98074e1c71524d0d9fddd0caed3e29d4d65050d55d639ca794d9003,0,0.085919,0.0040216,0.0003455318504,6f59e65d99adae2ca2d0438bfd7cc017fbe82fa26af64a4d3da75f547d95875e,8f31f0a6462703605a2272993523d750c3d17f255f51c1dc48a60a95bb726780
high_inner_low_outer,2.0,0.5,g20_to_g22,9,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_9/adjoint/inp,63139a90688958cdad65b0cdfcb287b4a62256957a6ec796c5d2e7f9b7d9fdea,0,0.085078,0.0032063,0.0002727855914,6d71fc9afa8567e5478eb73bf84dac386152e26f1b2f3d40ecf63c356386d20e,eeeb979fcec9e204a1a4964474b390951d2abb47bad4fa54e9b183a697dedcd7
