density_case,inner_density_ratio,outer_density_ratio,pair,seed,mode,source_cell,response_cell,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,average,relative_error,sigma,tally_sha256,stdout_sha256
high_inner_low_outer,2.0,0.5,g14_to_g15,7,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_7/adjoint/inp,6db0dbd08d029806cd8e3069ab95d584a1af2f2c883d8fa9004a9c034e331a38,0,0.092776,0.0078318,0.0007266030768,5f62c2092b345157aca46aaa4afe991257b64458272d0f7c96a4ec09bcf711ef,38beeba5bf89989fd55ddcccc2ec06d60493e65c070c41db6d4f172768cde2ef
high_inner_low_outer,2.0,0.5,g14_to_g15,9,forward,1,2,14,0.4015,15,0.2435,16,high_inner_low_outer/g14_to_g15/seed_9/forward/inp,d664f963c9ccada14c0c78f284c4c66ce8900caafb29d6c86c9ce197fb7414d3,0,0.095257,0.0086334,0.0008223917837999998,b09723131b5aedb09ecd1662df660607b30913cce5f99e2d0f4671d44bff73b9,5ed8e3b29f19153db9b34dd6433340f6f773b9d5cd214459f88d185fb517014e
high_inner_low_outer,2.0,0.5,g14_to_g15,9,adjoint,2,1,15,0.2435,14,0.4015,17,high_inner_low_outer/g14_to_g15/seed_9/adjoint/inp,8730dfec686bd8ddc4468232cc583e8bae128b004db8c13b1bc87c1158917879,0,0.093537,0.0077918,0.0007288215965999999,a6147dd9e3ff2402ebe94ede12d3e0578ed792a97dacbc377ce36c58bb77967f,71fc95a392f181481251d73fc0cf38bb830aa11ecd6876d1a3fe1ce3a953be82
high_inner_low_outer,2.0,0.5,g20_to_g22,1,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_1/forward/inp,0ea9520d4b1843302cbd76584e21cb6b0e10ff1916e1a497c3be8812d577e05e,0,0.085134,0.0091154,0.0007760304635999999,6bee9e32b03150c49cc6c9ba3a5afe5500f8307c1f05b7bf68cce0a10099a15e,4b048845b017ca1175aea52c96d68c14ca37a0cce80a260fa9326cfe6e99883a
high_inner_low_outer,2.0,0.5,g20_to_g22,1,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_1/adjoint/inp,d5d69d8345e2bbd9e1169d0f663cc650fa6018c969c6b79d9004e41e0298a603,0,0.0857,0.0071707,0.00061452899,60489facd44487626eb54f20ea7fe08337783184cd73d3fa4b91c6621e9c8f41,225f4b5d3fde9fbefb0d356a748f07d3fafc7b63a5d34bd249f090ad40ea726c
high_inner_low_outer,2.0,0.5,g20_to_g22,3,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_3/forward/inp,37ac4df0c85559100c92511b86a63ad39e27dfe999336b47725ab7039a58a6ba,0,0.084862,0.0090975,0.000772032045,5454a8631519ddba2d3025024defb0c299d808d3f5f88a7e9c14212d28fdec8a,5f298540086eccd4e13c6181410491286e5d1268ffb54acb530bb093c8296a83
high_inner_low_outer,2.0,0.5,g20_to_g22,3,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_3/adjoint/inp,dab52d4f5c34a1e2906ffa9512b30fdbc933180094215184f1fbcea1c43b1c57,0,0.085471,0.0071584,0.0006118356064,a611457b2147a58e52243c3cbf11dd8e0dc9858cb94cdda74d61f58e8775ad79,bb35b9731ab3d7e732724c5449645168dc4e3b6d4f8c8005f65c9e685f49dc2a
high_inner_low_outer,2.0,0.5,g20_to_g22,5,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_5/forward/inp,24d8847c5940570358d1f885517417c8560cbeb874149814fb3381b2163ed6b8,0,0.085527,0.0089956,0.0007693666812,6dc77138f60daf85411c5fcced1d4ea4541a8948ac882c37a3246a841686b1a2,e810f5a1e2ec573f80101664dcf1a367b2955eb34e8c0a49d1ab75476f5faf75
high_inner_low_outer,2.0,0.5,g20_to_g22,5,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_5/adjoint/inp,08df5a1c2bfae541d99cbfe039f4ae41a1ddcaf07afd534df17d6e05949e480f,0,0.085498,0.0071548,0.0006117210904000001,6be29521810a8311e7aad28117181d06824fe3fc8dc95a546906a2fc4d70a2a3,04c4259eb3982062d0913f162956c8bb5484c279d2942c6800d27b3c90f4c4e8
high_inner_low_outer,2.0,0.5,g20_to_g22,7,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_7/forward/inp,375351ba1db5e23f9b32e82d1e2787190eeeacf94d58ea2f86916edfd94ccf06,0,0.081939,0.009075,0.0007435964249999999,5056274f9177a99800d010d29616cad9ad436a93a16850c04b591c50f54dd69e,5ce9f6b423360e867ca224f33051e27c41aeeb7683044063820af7e05c24201d
high_inner_low_outer,2.0,0.5,g20_to_g22,7,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_7/adjoint/inp,b193a536fe8be77bb2c085aa81fb299699e189a92b8881a23ef22fb75092fc1f,0,0.085803,0.007155,0.000613920465,f384045389bb6f98b8e2100d023220d2e2998cdce7d7c4e61c6440a550a6b405,e8c3cc4631ceb909f57eeaefb2830bb46423f0efb2ee2435d9c6923ce144306c
high_inner_low_outer,2.0,0.5,g20_to_g22,9,forward,1,2,20,0.0022925,22,0.0003105,9,high_inner_low_outer/g20_to_g22/seed_9/forward/inp,04f5f71cc8acd62369d19a370ed84868e5a75d9d5443be7a070772d79a7cb0c5,0,0.086022,0.0089539,0.0007702323858000001,cfba60589d074cf25d007b1d32c0b45802825fe872cfad48e13a798e6237ebae,1f92a34353d20fb94d61e14432245f9b872d21f41649cc1c46e1e34d58261e70
high_inner_low_outer,2.0,0.5,g20_to_g22,9,adjoint,2,1,22,0.0003105,20,0.0022925,11,high_inner_low_outer/g20_to_g22/seed_9/adjoint/inp,d065350ceb209976a1aaa74010ce22a0b79312dfb9098929a578638f5fa7fc47,0,0.084722,0.0071671,0.0006072110462000001,937458d99dd61dd06db230c555bc73cc7101cd9997852136ce5dbf3f2f61cae8,50a10c928f06a1d5115c8ebe8999cbe04177bf13ee5161157a22ccd82973fe41
