group_a,energy_a_MeV,group_b,energy_b_MeV,sigma_a_to_b,sigma_b_to_a,absolute_difference,asymmetry,geometric_strength
7,4.875,24,4.2e-05,3.91154e-05,0.0,3.91154e-05,1.0,0.0
7,4.875,25,1.546e-05,1.015196e-05,0.0,1.015196e-05,1.0,0.0
8,3.2725,9,2.5485,1.6669770000000002,0.0,1.6669770000000002,1.0,0.0
8,3.2725,10,1.985,0.6770508805,0.0,0.6770508805,1.0,0.0
8,3.2725,11,1.5455,0.529278,0.0,0.529278,1.0,0.0
8,3.2725,12,1.088,0.73092,0.0,0.73092,1.0,0.0
8,3.2725,13,0.6615,0.446752,0.0,0.446752,1.0,0.0
8,3.2725,14,0.4015,0.272968,0.0,0.272968,1.0,0.0
8,3.2725,15,0.2435,0.1650694,0.0,0.1650694,1.0,0.0
8,3.2725,16,0.1258,0.161593,0.0,0.161593,1.0,0.0
8,3.2725,17,0.0462,0.0594492,0.0,0.0594492,1.0,0.0
8,3.2725,18,0.01696,0.0217838,0.0,0.0217838,1.0,0.0
8,3.2725,19,0.006235,0.00801668,0.0,0.00801668,1.0,0.0
8,3.2725,20,0.0022925,0.0029386,0.0,0.0029386,1.0,0.0
8,3.2725,21,0.0008445,0.001085138,0.0,0.001085138,1.0,0.0
8,3.2725,22,0.0003105,0.000398766,0.0,0.000398766,1.0,0.0
8,3.2725,23,0.0001142,0.0001467234,0.0,0.0001467234,1.0,0.0
8,3.2725,24,4.2e-05,5.39098e-05,0.0,5.39098e-05,1.0,0.0
8,3.2725,25,1.546e-05,3.06346e-05,0.0,3.06346e-05,1.0,0.0
9,2.5485,10,1.985,1.3439860000000001,0.0,1.3439860000000001,1.0,0.0
9,2.5485,11,1.5455,0.787868231,0.0,0.787868231,1.0,0.0
9,2.5485,12,1.088,1.088156,0.0,1.088156,1.0,0.0
9,2.5485,13,0.6615,0.66521,0.0,0.66521,1.0,0.0
9,2.5485,14,0.4015,0.406484,0.0,0.406484,1.0,0.0
9,2.5485,15,0.2435,0.245824,0.0,0.245824,1.0,0.0
9,2.5485,16,0.1258,0.240656,0.0,0.240656,1.0,0.0
9,2.5485,17,0.0462,0.0885376,0.0,0.0885376,1.0,0.0
9,2.5485,18,0.01696,0.0324426,0.0,0.0324426,1.0,0.0
9,2.5485,19,0.006235,0.01193924,0.0,0.01193924,1.0,0.0
9,2.5485,20,0.0022925,0.00437646,0.0,0.00437646,1.0,0.0
9,2.5485,21,0.0008445,0.001616096,0.0,0.001616096,1.0,0.0
9,2.5485,22,0.0003105,0.000593882,0.0,0.000593882,1.0,0.0
9,2.5485,23,0.0001142,0.000218516,0.0,0.000218516,1.0,0.0
9,2.5485,24,4.2e-05,8.0288e-05,0.0,8.0288e-05,1.0,0.0
9,2.5485,25,1.546e-05,4.58752e-05,0.0,4.58752e-05,1.0,0.0
10,1.985,11,1.5455,2.036065,0.0,2.036065,1.0,0.0
10,1.985,12,1.088,1.6031338812,0.0,1.6031338812,1.0,0.0
10,1.985,13,0.6615,0.980192,0.0,0.980192,1.0,0.0
10,1.985,14,0.4015,0.599018,0.0,0.599018,1.0,0.0
10,1.985,15,0.2435,0.36228,0.0,0.36228,1.0,0.0
10,1.985,16,0.1258,0.354682,0.0,0.354682,1.0,0.0
